pass,product,variable,kind,basis
pass1,faceless-so,free_plan_cap_value,vendor_silence,"HAND. Home FAQ, pricing-page FAQ, Terms of Service, Privacy Policy, and five developer-docs pages were all read in full and reachable; none describes any limit for the Free tier (the vendor's own data object for Free carries no credits field, unlike every paid tier). Nothing was ever quantified because nothing was ever described -- a cascade from the parent variable's genuine silence, not a format mismatch."
pass1,faceless-so,credit_rollover_policy,vendor_silence,"HAND. Terms of Service, Privacy Policy, all five developer-docs guide pages, and both FAQ arrays were read in full; all 14 cited sources archived successfully. None mentions rollover, expiry, or unused credits at billing-period end -- genuine documented silence, not an access gap."
pass1,gamma,commercial_use_lowest_tier,vendor_silence,"HAND. Terms of Service, Acceptable Use Policy, and the pricing page's Individual and Team tabs were all read in full live (local copies retained only because Cloudflare blocks archive.org's own crawler, not because the coder was blocked). A targeted keyword search for commercial found zero hits describing output-use rights in any of the three."
pass1,google-veo,free_plan_watermark,vendor_silence,"HAND. The Google Flow help article on watermarking was found and read in full; it documents watermark behavior (invisible SynthID always, a visible-watermark toggle, forced only by residence) but never distinguishes the free, no-subscription allowance from paid tiers. The relevant document was read, not merely searched, and simply does not address the tier-specific question."
pass1,hailuo-ai,annual_default_toggle,access_failure,"HAND. The coder attempted multiple times, across fresh page loads, to view the /subscribe page's actual plan-card/toggle UI, but an unauthenticated session is always client-side redirected away before it renders. The record's own notes flag a specific, unexplained ""$9.99/mo"" figure elsewhere on the site consistent with an undocumented annual toggle that could not be confirmed -- the coder could not reach the UI element this variable asks about, not that the vendor never built one."
pass1,hailuo-ai,auto_renewal_default,vendor_silence,"HAND. Payment Policy and Terms of Service were both read in full and successfully archived; the termination clause describes billing cycles and refusal of refunds but never uses ""renew"" or ""automatic"" anywhere in either document. The coder correctly declined to infer automatic renewal from implication alone -- genuine silence, not an access gap."
pass1,humanizemy-ai-detector,refund_window_days,vendor_silence,"HAND. The dedicated Refund & Cancellation Policy page was read in full and archived successfully; it states three conditions triggering a refund but never a day-count window for requesting one -- the only day figure present is a 14-day response SLA, a different construct the coder correctly declined to substitute."
pass1,humanizemy,refund_window_days,vendor_silence,"HAND. The dedicated Refund & Cancellation Policy (same vendor and page as the sibling humanizemy-ai-detector record) was read in full and archived successfully; it states three conditions triggering a refund but never a day-count window, and the only day figure present is a 14-day response SLA, a different construct."
pass1,humbot,free_plan_cap_documented,vendor_silence,"HAND. The pricing page was loaded three separate times and no visible card, table row, or FAQ text ever displayed a Free-plan limit to a reader. The coder did locate a Free SKU figure (200 words/mo, 100-word input) in the page's inert embedded JSON, but that data is never rendered to a buyer, so it does not constitute vendor disclosure -- access was not the obstacle, the vendor's own page never shows it."
pass1,humbot,output_ownership_statement,vendor_silence,"HAND. Terms of Service was read in full (public archiving failed twice with HTTP 520, but the coder read the live page directly and retained a local copy); the Intellectual Property section addresses only the vendor's own site/software Materials and never addresses ownership of the user-generated humanized-text output."
pass1,invideo-ai,free_plan_cap_value,vendor_silence,"HAND. The credit-allowance help doc and the official free-plan help article were both read; both describe the free plan's limit only as the word ""Limited,"" with a reset period but no number. Nothing was quantified because the vendor never quantified it -- a third-party AI-overview surfaced numbers, but the coder correctly excluded that non-official source per protocol."
pass1,ismybrandinai,free_plan_cap_documented,vendor_silence,"HAND. Home page, tools index, the tool's own product page, About, Terms, and the methodology page were all read (the tools index has only a local copy after archive.org's save returned 404 three times, but the coder still read it); none describes any limit, quota, or explicit no-limit statement for free use."
pass1,ismybrandinai,free_plan_cap_value,vendor_silence,"HAND. Cascades directly from free_plan_cap_documented=unknown: with no limit of any kind described anywhere across the six documents read, there is nothing quantified to record."
pass1,jobscan,renewal_notice_commitment,vendor_silence,"HAND. Terms of Service (read in full, all 29 sections) and the dedicated cancellation-policy page both describe the automatic-renewal mechanism, but neither commits to advance notice of a renewal charge; the coder correctly distinguishes the adjacent ""Fee Changes"" clause (notice of price changes only) from this variable's actual construct. Both documents were read directly despite archive.org's own save attempts failing."
pass1,julius-ai,refund_window_days,vendor_silence,"HAND. The dedicated Refund Policy page, Terms of Service, and FAQs were all read (the refund-policy page has only a local copy since archive.org's save attempts returned HTTP 520 twice, but the coder read it directly); refunds are case-by-case and discretionary with named conditions, but no day-count eligibility window appears in any of the three."
pass1,kling-ai,trial_card_required,vendor_silence,"HAND. Credits Policy (which documents the 7-Day Trial Membership's existence and length), the Terms of Paid Service, and the pricing page were all read; none states whether a payment card is required to start the trial. All three documents were reachable and read in full -- no unretrieved document is implicated for this specific sub-question."
pass1,leonardo-ai,refund_window_days,vendor_silence,"HAND. The dedicated Refund Policy page and Terms of Service were both read via browser rendering (Cloudflare blocks static fetches and archive.org's own save attempts returned HTTP 520, but the coder reached and read the live pages directly); refund eligibility rests on six named fault circumstances, but no day-count window appears anywhere."
pass1,openai-sora,first_charge_amount_usd,access_failure,"HAND. No pricing page or billing document stating a first-charge figure could be located; the one document specifically titled for billing and credits, the Sora Billing & Credits FAQ, returns HTTP 404 live with only an empty, contentless archive.org shell recoverable."
pass1,openai-sora,mandatory_addon_present,access_failure,"HAND. The coder names the exact document that would settle this, the Sora Billing & Credits FAQ, and states it returns HTTP 404 live with only an empty archived app shell recoverable -- ""unknown is for documentation that could not be located at all,"" in the coder's own words."
pass1,openai-sora,annual_default_toggle,access_failure,"HAND. The current live page shows only a shutdown notice, and the two pre-shutdown archived surfaces actually read (the openai.com/sora marketing page and chatgpt.com/pricing, which does not even list Sora as a plan feature) are not natural homes for a Sora-specific billing toggle. The one document that plausibly would show it, the Sora Billing & Credits FAQ, could not be retrieved in any state."
pass1,openai-sora,trial_exists,access_failure,"HAND. The coder's own evidence states plainly that ""the live pricing page and product documentation classes, which rank above the terms for this variable, could not be reached for Sora"" -- only the lower-ranked Terms of Use was checked, and it is silent on trials. The higher-ranked, plausible documents were never read because they were never reachable."
pass1,openai-sora,trial_length_days,access_failure,"HAND. Cascades directly from trial_exists, itself coded unknown because the higher-ranked pricing page and product-documentation classes for this construct could never be reached for Sora -- only the lower-ranked Terms of Use (silent on trials) was checked."
pass1,openai-sora,trial_auto_converts,access_failure,"HAND. Same cascade as trial_length_days: the higher-ranked pricing page and documentation classes were never reachable, so conversion behavior cannot be assessed from the lower-ranked Terms of Use alone."
pass1,openai-sora,credit_unit_defined,access_failure,"HAND. The coder names the specific document that would define this, the Sora Billing & Credits FAQ, and states it returns HTTP 404 live with only an empty, contentless archive.org capture recoverable."
pass1,openai-sora,credit_to_output_rate_published,access_failure,"HAND. The record states this rests on ""the same unrecoverable-document reasoning as credit_unit_defined"" -- the same unreachable Sora Billing & Credits FAQ."
pass1,openai-sora,cost_per_output_computable,access_failure,"HAND. The coder states directly that price, allowance, and rate ""are all unknown because the document that would state them could not be recovered"" -- the same unreachable Billing & Credits FAQ underlying the record's other credit-system unknowns."
pass1,openai-sora,usage_cap_quantified,access_failure,"HAND. The entry paid tier itself could not be identified because the one document that would define it, the Sora Billing & Credits FAQ, is unreachable (404 live, empty archive shell); with no identified tier, its limits cannot be assessed."
pass1,adobe-express,trial_card_required,vendor_silence,"HAND. The pricing page and the Subscription and Cancellation Terms' 'Month to month' clause governing this exact plan were both read; neither states a card requirement, matching the codebook's own trial_card_required worked example. The one unread document (a Generative AI Product Specific Terms PDF, not opened per the study's no-download rule) is a content/IP addendum, not a subscription-mechanics document, so it is not a plausible source for this construct."
pass1,adobe-firefly,free_plan_cap_value,vendor_silence,"HAND. The two sources read for free_plan_cap_documented describe the free tier only qualitatively ('a limited number of free daily generations'); no document publishes a number, so there is nothing quantified to transcribe. Both sources were reachable and read, not blocked."
pass1,adobe-firefly,free_plan_watermark,vendor_silence,"HAND. The Firefly plans page's paid-tier feature-comparison table was read row by row (credits, image/video/audio features, model access, Boards, app access, Express/Photoshop/Fonts perks) with no row on watermarking or output branding for any tier. Matches this study's own runway precedent (a feature grid read in full and left silent on watermarking is vendor silence); the page's FAQ accordion that failed to expand is a disclosed limitation, but its visible question titles name nothing watermark-related."
pass1,adobe-firefly,trial_auto_converts,vendor_silence,"HAND. Two full documents read: the Subscription and Cancellation Terms' 'Month to month' clause governing this plan (no 'Free Trial Terms' subsection, unlike the same document's annual-contract clause which explicitly states auto-conversion) and the general Terms of Use section 3.7 (permissive 'you may continue... if available' wording, not a conversion statement). The coder found parallel clauses in the same documents that DO state auto-conversion for other plans, confirming this plan's silence is a real omission, not a search miss."
adjudicated,google-veo,headline_price_usd,instrument_gap,"HAND. The record's own evidence opens TIER-SELECTION UNRESOLVED: the product has no pricing page and is sold through two non-equivalent official surfaces, and sampling-rules 7.2 does not say whether its usage-based carve-out runs at vendor-wide or product-attributable level. The adjudicator coded unknown under protocol 7.4 step 5 for an underdetermined rule, not for vendor silence. Queue item A-016."
adjudicated,google-veo,auto_renewal_default,instrument_gap,"HAND. Evidence begins 'Cascades from headline_price_usd' — which terms of service governs depends on which surface is the entry tier, and that is the unresolved question. Both surfaces document renewal behaviour; neither can be selected. Not silence."
adjudicated,google-veo,failed_generation_charge_policy,instrument_gap,HAND. The clearest case against calling this silence: Surface B documents the construct explicitly ('You are only charged if your video is successfully generated'). Surface A is silent. The vendor DID publish it; we cannot say which publication governs. Coding vendor_silence here would record a documented policy as undocumented.
adjudicated,google-veo,unquantified_limit_clause,instrument_gap,"HAND. Surface A states the clause verbatim ('we may rate-limit the number of generations you can make... to balance the available resources'), re-verified live. The construct is documented; only which surface's terms govern is unresolved. Cascades from the tier question."
adjudicated,adobe-express,free_plan_watermark,vendor_silence,"HAND. Both passes independently checked the pricing-page feature grid, General Terms of Use, Subscription and Cancellation Terms, both Product Specific Terms PDFs, the generative-credits FAQ, and the Express Free-plan help page -- six document classes, one of which (the Gen AI PST PDF) was directly opened and quoted elsewhere in this same record -- and both correctly distinguished the unrelated Content-Credentials/provenance-metadata clause from a tier-differentiated visible-watermark statement, finding none."
adjudicated,adobe-firefly,trial_auto_converts,vendor_silence,"HAND. The Subscription and Cancellation Terms was read in full; its 'Month to month' clause, which governs this entry tier, carries no auto-conversion language, while the same document's 'Annual contract' clause explicitly states conversion -- a genuine, segment-specific absence for this tier, not a search miss, and the General Terms of Use's permissive 'if available' wording was correctly not read as a substitute statement."
adjudicated,aiva,failed_generation_charge_policy,vendor_silence,"HAND. Pricing page, EULA section 6 'Technology & Limitations' (a dedicated, on-point limitations clause stating generation-rate ceilings but nothing about failures), all 8 help-center FAQ articles, and the General User Manual were all read; none addresses a failed or errored generation's effect on the download allowance."
adjudicated,anomaly-ai,commercial_use_lowest_tier,vendor_silence,"HAND. The pricing page and Terms of Service were read in full, part of a 10-official-page sweep independently corroborated by a full sitemap.xml enumeration (~130 URLs); no feature-grid row or clause addresses commercial-use rights in outputs, and the 'recurring business reports' tagline was correctly not read as a grant."
adjudicated,anomaly-ai,output_ownership_statement,vendor_silence,"HAND. The Terms of Service and the Security page were both read and both affirmatively address INPUT-data ownership only; pass 2 additionally located a third document, an 'AI-Generated Content Disclaimer,' which addresses AI-generated outputs but only for accuracy and liability, never ownership -- an adjacent construct addressed twice, output ownership itself never stated."
adjudicated,anomaly-ai,refund_conditions,vendor_silence,"HAND. Cascades from refund_policy_exists, itself confirmed unknown by an exhaustive sweep: 10 official pages grepped for 'refund' with zero hits, help/docs/support subdomains returning Cloudflare 526 with no origin configured, /refund /refund-policy /cancellation-policy /cancel all 404, independently reconfirmed by a full sitemap crawl -- a thin vendor site with no refund documentation anywhere, not a retrieval failure."
adjudicated,anomaly-ai,refund_window_days,vendor_silence,"HAND. Same exhaustive silence finding as refund_conditions: refund_policy_exists is unknown after a completed, two-independent-method sweep of all 10 official pages plus subdomain probing and a sitemap crawl, so no window figure exists anywhere to record."
adjudicated,autoshorts-ai,auto_renewal_default,vendor_silence,"HAND. Terms & Conditions (generic boilerplate with no billing or renewal clause at all) and all 27 FAQ questions were read in full by both independent passes; the FAQ's cancellation sentence was correctly distinguished from a default-renewal statement, with no inference drawn from 'membership'/'subscription' wording alone."
adjudicated,autoshorts-ai,failed_generation_charge_policy,vendor_silence,"HAND. Terms & Conditions and all 27 FAQ questions were read in full by both passes; the adjacent statement that re-renders from script or series edits 'do not count against your plan' was correctly distinguished from a failed-generation policy, which neither document addresses."
adjudicated,colossyan,renewal_notice_commitment,instrument_gap,"HAND. ToS Section 4.4 and the Help Center billing articles were read in full and do commit to notice, but only for 'material price/service changes generally,' not for an ordinary renewal charge -- a documented, event-conditional notice commitment that renewal_notice_commitment's binary advance_notice_stated/no_notice_stated value list has no slot to express, the same event-conditional-notice gap this study has already named."
adjudicated,google-veo,annual_default_toggle,instrument_gap,"HAND. one.google.com/about/plans (Surface A, consumer subscription) loads Monthly-preselected; no Veo surface on ai.google.dev (Surface B, developer API) carries a monthly/annual toggle at all, being metered per second. Both pages were read and re-verified live; the two default states differ in kind because sampling-rules 7.2 has no rule for choosing which of two non-equivalent official surfaces is 'the' entry tier for a product with no dedicated pricing page."
adjudicated,google-veo,auto_renewal_disclosure_location,instrument_gap,"HAND. Downstream of auto_renewal_default, which itself splits by surface: Google One's Terms of Service (Surface A) state automatic renewal, Google Cloud's Terms of Service (Surface B) describe continuous metered billing with no renewal event and no renew/continue language. Both documents were read in full; which one's disclosure-location governs depends on the same unresolved entry-tier surface."
adjudicated,google-veo,cost_per_output_computable,instrument_gap,"HAND. Both one.google.com/intl/en_us/about/google-ai-plans/ and ai.google.dev/gemini-api/docs/pricing were read and each publishes a clean, fully computable figure on its own terms ($9.99-or-$4.99 per 200-credit allowance vs. $0.05/sec x 60 = $3.00/minute); the rule's fixed price input, 'the entry paid tier's price,' cannot be identified between two non-equivalent official surfaces."
adjudicated,google-veo,cost_per_output_unit,instrument_gap,"HAND. Surface A (one.google.com/intl/en_us/about/google-ai-plans/) sells discrete fixed-length generations billed in Google Flow credits; Surface B (ai.google.dev/gemini-api/docs/pricing) meters continuously per second. Both documents were read and re-verified live; the two billing structures genuinely differ because entry-tier selection between the two surfaces is unresolved, not because either document is unclear."
adjudicated,google-veo,credit_rate_location,instrument_gap,"HAND. Downstream of credit_system_present, which itself differs by surface: Surface A's Flow-credits help article (support.google.com/flow/answer/16526234) publishes per-model rates, Surface B's Gemini API pricing page has no credit system at all. Both documents were read; the location question cannot be answered without knowing which surface governs."
adjudicated,google-veo,credit_rollover_policy,instrument_gap,"HAND. support.google.com/flow/answer/16526234 (Surface A) states Flow credits do not roll over; ai.google.dev/gemini-api/docs/pricing (Surface B) has no credit system to roll over at all. Both documents were read; which applies depends on the unresolved entry-tier surface, not on either document being silent."
adjudicated,google-veo,credit_system_present,instrument_gap,"HAND. support.google.com/flow/answer/16526234 (Surface A) documents an intermediate 'Google Flow credits' currency with published per-model conversion rates; ai.google.dev/gemini-api/docs/pricing (Surface B) bills directly in USD per second with no intermediate unit named. Both were read and re-verified live 2026-08-15; both are accurate for their own path, and the instrument has no rule for which path governs a product with no dedicated pricing page."
adjudicated,google-veo,credit_to_output_rate_published,instrument_gap,"HAND. Same two fully-read documents as credit_system_present: Surface A publishes exact per-model credit costs, Surface B has no credit system for a rate to attach to. The unresolved entry-tier surface, not vendor silence, is what prevents a single coded value."
adjudicated,google-veo,credit_unit_defined,instrument_gap,"HAND. Surface A's Flow-credits help article defines the unit with published per-model costs (e.g. 'Veo 3.1 Fast: 20 credits/generation'); Surface B's Gemini API pricing page has no credit system. Both documents were read; not_applicable would wrongly assert the determinate fact of no credit system, which is not established once the entry-tier surface itself is unresolved."
adjudicated,google-veo,first_charge_amount_usd,instrument_gap,"HAND. Surface A's own conflicting $9.99/$4.99 monthly figure is read directly (Monthly default, no annualization); Surface B's ai.google.dev/gemini-api/docs/billing states a documented $10.00 minimum prepay. Both figures are well-evidenced on their own surface; which a buyer actually pays first is undetermined because the governing surface is."
adjudicated,google-veo,headline_billing_basis,instrument_gap,"HAND. Surface A's pricing card reads per_month_billed_monthly; Surface B's per-second Gemini API rate card reads usage_based -- both values are correctly documented for their own, fully-read surface; the instrument does not determine which surface's headline figure this record's headline_billing_basis is meant to describe."
adjudicated,google-veo,renewal_notice_commitment,vendor_silence,"HAND. Both candidate surfaces' governing contracts -- Google One's Terms of Service (Surface A) and Google Cloud's Terms of Service (Surface B) -- were read in full independently of the entry-tier dispute; neither commits to advance notice before a renewal or charge event, so this value holds regardless of which surface governs."
adjudicated,google-veo,trial_auto_converts,instrument_gap,"HAND. Downstream of trial_exists, itself split by surface: Surface A's AI Plus sign-up article states no trial while AI Pro's sibling article does mention one; Surface B's billing docs are silent on a time-limited trial on their own terms. Both surfaces' documents were read; which one governs the entry tier is unresolved."
adjudicated,google-veo,trial_card_required,instrument_gap,"HAND. support.google.com/googleone/answer/16548195 (Surface A) and ai.google.dev/gemini-api/docs/billing (Surface B) were both read; not_applicable would assert the determinate fact that no trial exists, which is not established since Surface B's own trial_exists reading was already unknown on its own terms."
adjudicated,google-veo,trial_exists,instrument_gap,"HAND. Surface A's dedicated Google AI Plus sign-up article states no trial, explicitly contrasted against AI Pro's article which does mention one; Surface B's billing docs are genuinely silent on a time-limited trial of paid Veo access on their own terms. Both surfaces were read in full; the two give different answers even taken independently, and which surface governs is unresolved."
adjudicated,google-veo,trial_length_days,instrument_gap,"HAND. Downstream of trial_exists; this is an explicit sampling-rules 5.2 entry-tier variable tied to 'the entry paid tier,' which cannot be identified between the fully-read Surface A and Surface B documents."
adjudicated,google-veo,usage_cap_quantified,instrument_gap,"HAND. Surface A's Flow-credits documentation supports some_quantified (200 credits/month is numbered, but Gemini text-model access is stated only as a relative '2x' with no baseline); Surface B's ai.google.dev/gemini-api/docs/billing supports all_caps_quantified ($250/month cap, video length, output count, resolution all numbered). Both documents were read; which tier's limits govern is unresolved."
adjudicated,google-veo,commercial_use_lowest_tier,vendor_silence,"HAND. Both candidate surfaces' documents were read independently of the entry-tier dispute -- Surface A's Flow watermark/rate-limit FAQ and Surface B's Gemini API Additional Terms of Service; both found only an ownership disclaimer ('Google won't claim ownership over that content'), correctly distinguished as a different construct from a commercial-use permission, and declined to infer permission from it."
adjudicated,humanizemy,refund_window_days,vendor_silence,"HAND. The dedicated Refund & Cancellation Policy page was read in full (and used elsewhere in this record to code refund_policy_exists, refund_conditions, and refund_policy_location); its only day-figure, 'respond within 14 days,' was correctly identified as the vendor's response SLA rather than a request deadline, which is never stated."
adjudicated,jobscan,annual_default_toggle,instrument_gap,"HAND. The plan page (app.jobscan.co/plan) was read and re-verified live; it renders three simultaneous, permanent cards (Free/Quarterly/Monthly) with no interactive toggle and no annual option. no_toggle's own value-table meaning ('the page offers ONE billing period only') does not fit two simultaneous recurring paid periods, and not_applicable's criterion ('billing does not recur') does not fit either since billing does recur -- the record's own coder_note names this an instrument/enum coverage gap, not vendor silence."
adjudicated,jobscan,headline_billing_basis,instrument_gap,"HAND. The plan page was read and both passes agree verbatim on the underlying fact, 'Billed as $89.95 every 3 months.' None of the five enumerated headline_billing_basis values (annually, monthly, per-seat, one-time, usage-based) names a quarterly cadence; this is adjudication item A-011, independently reproduced by two blind coders on two different products, and is this study's own named example of an instrument gap in this exact variable."
