pass,product,variable,current_kind,verdict,corrected_kind,basis
adjudicated,adobe-firefly,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,adobe-firefly,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
adjudicated,adobe-firefly,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,aiva,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,aiva,refund_window_days,vendor_silence,CONFIRMED,,"EULA s9 conditions refunds on non-use of premium features, never a day count; matches all 12 hand refund_window_days decisions, which are vendor_silence for documented-but-non-day refund terms"
adjudicated,aiva,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
adjudicated,aiva,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,anomaly-ai,auto_renewal_default,vendor_silence,CONFIRMED,,'renew'/'automatic' absent from the documents; cancel-anytime language correctly not treated as a renewal statement
adjudicated,anomaly-ai,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
adjudicated,anomaly-ai,free_plan_cap_value,instrument_gap,CONFIRMED,,"names the gap and reasons it: vendor published a qualitative Free allowance ('Enough to try core analysis...') with no number, and the Format rule has no third option - hand precedents undetectable-ai and pixlr agree"
adjudicated,anomaly-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,anomaly-ai,refund_policy_exists,vendor_silence,CONFIRMED,,'refund' on zero of 10 official pages incl. full ToS grep; /refund /refund-policy 404 proves no policy page exists rather than one we could not open; hand pass2 sibling agrees
adjudicated,anomaly-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
adjudicated,anomaly-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,aragon-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,aragon-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,"'No watermarks' is documented on the 4 Subscription tiers but the entry tier is the one-time Basic package, whose status no document states - the study's runway/google-veo precedents treat 'documented for other tiers, unstated for the coded one' as vendor_silence (see report: boundary case)"
adjudicated,autoshorts-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
adjudicated,beautiful-ai,commercial_use_lowest_tier,instrument_gap,WRONG,vendor_silence,"AUDIT. Pattern fired on 'no determinate' but the sentence reads 'Coded unknown under codebook 2.1 step 4 (no determinate value)' - the general indeterminacy default, not a codebook-slot claim; the record never says the format lacks a slot. Vendor raised commercial use in an ambiguous clause without committing, which this study's own hand decision on undetectable-ai/watermark_removal_tier calls 'a genuine failure by the vendor to commit to a position on a topic it raised' = vendor_silence. All 12 hand commercial_use_lowest_tier decisions are vendor_silence or access_failure, none instrument_gap; pass1 sibling on this same clause is vendor_silence."
adjudicated,beautiful-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
adjudicated,colossyan,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,copyleaks,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,copyleaks,renewal_notice_commitment,vendor_silence,WRONG,instrument_gap,"AUDIT. 'Sec.22.3 ... commits to advance notice only for vendor-initiated CHANGES to subscription plans or pricing' - a documented, event-conditional vendor notice commitment the advance_notice_stated/no_notice_stated list cannot express. This is the study's own named event-conditional-notice gap (hand: adjudicated/colossyan, adjudicated/jobscan, pass1/picsart all instrument_gap on this exact shape)."
adjudicated,elevenlabs,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,elevenlabs,renewal_notice_commitment,vendor_silence,CONFIRMED,,"the 7-day clause is the buyer's cancellation deadline on a posted price change, not a vendor promise to notify; pass1 sibling quotes it in full and reaches the same reading (see report: boundary case)"
adjudicated,humanizemy,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
adjudicated,humanizemy,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,humanizemy,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,ismybrandinai,free_plan_cap_documented,vendor_silence,CONFIRMED,,"no document states any limit, quantified or unquantified, nor an 'unlimited' claim"
adjudicated,jobscan,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"pass2's D-018 English-ToS access barrier did not propagate: the adjudicator re-read the complete ToS live and confirms 'genuine vendor silence, not our inability to access the document'"
adjudicated,jobscan,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
adjudicated,jobscan,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,jobscan,output_ownership_statement,vendor_silence,CONFIRMED,,adjudicator's own full ToS read (live-reverified) confirms the construct is unaddressed; pass2's access barrier did not determine this published value
adjudicated,jobscan,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,krea-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,krea-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,nicepage,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
adjudicated,nicepage,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
adjudicated,nicepage,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
adjudicated,pika,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,recraft,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,sapling,renewal_notice_commitment,vendor_silence,CONFIRMED,,"the adjudicator names and rules out both alternatives with reasons: ToS fully retrieved and read repeatedly, and 'not instrument gap ... it never addressed the construct at all' (see report: conflicts with the study's event-conditional-notice doctrine)"
adjudicated,teal,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
adjudicated,teal,credit_rollover_policy,vendor_silence,CONFIRMED,,"no document states whether an unused free-credit balance expires, carries forward or persists; the coders' period-boundary remark is secondary and credit_rollover silences elsewhere (faceless-so, shortsfaceless) are hand-confirmed vendor_silence (see report: boundary case)"
adjudicated,teal,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,teal,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,teal,headline_billing_basis,instrument_gap,CONFIRMED,,"vendor publishes 'Every 90 days' in full and none of the five allowed values names a quarterly cadence; hand sibling pass1/teal agrees, and this is the study's named A-011 gap"
adjudicated,teal,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,udio,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,udio,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,udio,renewal_notice_commitment,vendor_silence,WRONG,instrument_gap,"AUDIT. ""ToS 3.2's 'reasonable notice' promise is scoped to price/plan CHANGES, not each renewal"" - notice IS promised, on a different trigger. Same event-conditional-notice gap the study hand-assigns to adjudicated/colossyan and adjudicated/jobscan; both adjudicated rows of this shape that the study reviewed by hand became instrument_gap."
adjudicated,udio,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
adjudicated,udio,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
adjudicated,undetectable-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
adjudicated,undetectable-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
adjudicated,undetectable-ai,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
adjudicated,undetectable-ai,trial_length_days,vendor_silence,WRONG,instrument_gap,"AUDIT. ""The pricing page's persistent footnote states a USAGE cap only ('Free Trial is limited to 250 words'), no day-count ... a day-based figure in a different, non-comparable unit"" - a trial whose sole published limit is denominated in words against a variable that can hold only days. Both hand siblings on this identical product+variable (pass1 and pass2 undetectable-ai/trial_length_days) are instrument_gap; only this published adjudicated row was left to the pattern."
adjudicated,undetectable-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,'Watermark and future proof' repeats on every paid tier but commits to neither reading; hand sibling pass1/undetectable-ai calls this exact phrase 'a genuine failure by the vendor to commit to a position on a topic it raised' = vendor_silence
pass1,10web,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
pass1,10web,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,10web,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,10web,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,adobe-express,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,adobe-express,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,adobe-express,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,adobe-firefly,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,adobe-firefly,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,adobe-firefly,trial_length_days,vendor_silence,WRONG,access_failure,"AUDIT. ""the FAQ answer content could not be read (see register_events: FAQ accordion would not expand)"" - the record's own limitations note lists trial_length_days as a variable affected by that unread FAQ (whose visible titles include 'How much does Adobe Firefly cost?'), and the same accordion problem was solved elsewhere in this record by fetching an archived raw-HTML snapshot, a path not taken here. A relevant document was not retrieved, so the silence may be ours (cf. hand: pass1/lovo-ai, pass1/canva)."
pass1,adobe-firefly,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,aiclicks,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,aiclicks,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,aiclicks,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
pass1,aiva,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,aiva,refund_window_days,vendor_silence,CONFIRMED,,refund terms are documented in non-day form; no day count published anywhere
pass1,aiva,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,aiva,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,anomaly-ai,auto_renewal_default,vendor_silence,CONFIRMED,,'renew'/'automatic' absent from the documents; cancel-anytime language correctly not treated as a renewal statement
pass1,anomaly-ai,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
pass1,anomaly-ai,refund_policy_exists,vendor_silence,CONFIRMED,,"'refund' absent from every official page and no policy page exists (404s), so nothing to retrieve"
pass1,anomaly-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,apify-robots-checker,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,apify-robots-checker,first_charge_amount_usd,instrument_gap,CONFIRMED,,"pure pay-per-event pricing with no stated billing period, met with a variable that assumes a periodic charge; no determinate first-transaction total is derivable"
pass1,aragon-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,aragon-ai,free_plan_cap_value,instrument_gap,CONFIRMED,,names it: free_plan_cap_documented=none_quantified and 'codebook's value list for this field offers no distinct none-quantified-exists value ... flagged for adjudication as a minor instrument gap'; hand pass1/pixlr agrees
pass1,aragon-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,aragon-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,autoshorts-ai,auto_renewal_default,vendor_silence,CONFIRMED,,'renew'/'automatic' absent from the documents; cancel-anytime language correctly not treated as a renewal statement
pass1,autoshorts-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,autoshorts-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,beautiful-ai,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,the 'non-commercial purposes' clause is ambiguous and in any case governs Beautiful.ai's own Materials; no commercial-use row anywhere in the compare-plans table (zero 'commercial' matches)
pass1,beautiful-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,brandcited,renewal_notice_commitment,vendor_silence,WRONG,instrument_gap,"AUDIT. ""ToS 14 commits to 30 days' notice, but only for vendor-initiated *price changes* at next renewal ('We'll notify you at least 30 days before your plan price changes')"" - a verbatim, documented vendor notice commitment on a different trigger; the value list has no slot for event-conditional notice. Same shape as hand-assigned instrument_gap on pass1/picsart and adjudicated/jobscan."
pass1,canva,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,canva,first_charge_amount_usd,vendor_silence,WRONG,access_failure,"AUDIT. ""no arm supplies a figure to annualize"" because ""Arm 2 returns nothing readable"" - US-crawled archive captures of both pricing URLs redirect to Canva's own bot-block interstitial. Canva plainly publishes a price (TRY 1,920/yr observed); the USD figure a US reader is served was not retrieved. Identical to the study's hand call on pass1/picsart/cost_per_output_computable: 'a retrieval failure, not vendor silence'."
pass1,canva,headline_price_usd,vendor_silence,WRONG,access_failure,"AUDIT. ""Arm 2 still returns nothing readable (US-crawled archive captures of both pricing URLs redirect to Canva's own bot-block interstitial), so no actual USD figure is in hand"" - the record's own resolution is 'no figure was recovered', i.e. our retrieval failed, not that Canva publishes no price. Matches hand pass1/picsart/cost_per_output_computable (geo-served TRY + pre-hydration archive shell = access_failure)."
pass1,canva,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,colossyan,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,copyleaks,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,copyleaks,renewal_notice_commitment,vendor_silence,WRONG,instrument_gap,"AUDIT. ""ToS 22.3 commits to advance notice only for vendor-initiated CHANGES to subscription plans/pricing ('We will provide you with advance notice of any such changes, and they will apply to you only as of the start of your next billing cycle or subscription renewal')"" - notice is documented, on an event trigger the binary value list cannot express. Study's own named event-conditional-notice gap."
pass1,d-id,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,d-id,trial_auto_converts,vendor_silence,CONFIRMED,,no document states whether the trial converts automatically or simply ends
pass1,d-id,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,decktopus,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,decktopus,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,decktopus,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
pass1,decktopus,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,elevenlabs,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,elevenlabs,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,faceless-so,free_plan_cap_documented,vendor_silence,CONFIRMED,,"no document states any limit, quantified or unquantified, nor an 'unlimited' claim"
pass1,faceless-so,refund_window_days,vendor_silence,CONFIRMED,,refund terms are documented in non-day form; no day count published anywhere
pass1,faceless-so,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,fotor,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,framer,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,framer,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,framer,trial_auto_converts,vendor_silence,CONFIRMED,,no document states whether the trial converts automatically or simply ends
pass1,framer,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,framer,trial_length_days,vendor_silence,CONFIRMED,,no day count in any document; nothing quantified in a competing unit for the trial itself
pass1,freepik,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,freepik,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,freepik,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,gamma,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,gamma,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,godaddy,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,godaddy,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,godaddy,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,godaddy,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,godaddy,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,google-veo,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,google-veo,failed_generation_charge_policy,vendor_silence,WRONG,instrument_gap,"AUDIT. Recording vendor silence here states as undocumented a policy the vendor documents verbatim: the study's own hand decision on adjudicated/google-veo/failed_generation_charge_policy reads 'Surface B documents the construct explicitly (You are only charged if your video is successfully generated) ... Coding vendor_silence here would record a documented policy as undocumented.' This pass1 row read only Surface A documents (Flow credits article, Flow get-started FAQ); the unresolved question is which of two non-equivalent official surfaces governs."
pass1,google-veo,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,google-veo,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,gptzero,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
pass1,gptzero,first_charge_amount_usd,vendor_silence,CONFIRMED,,"independent of the currency question: no document states the annual plan is 'charged once for twelve months', the confirmation rule 2 requires before multiplying, and the record marks the value unchanged by the currency re-check"
pass1,gptzero,headline_price_usd,vendor_silence,WRONG,access_failure,"AUDIT. ""No USD figure is published anywhere for it on the live page ... Arm 2 ... again shows only a pre-hydration '$0/mo billed annually' placeholder (not a real price; GPTZero's price is fetched client-side at runtime)"" - a real price IS published (TRY 549/mo) and the ToS promises 'All payments shall be in U.S. dollars'; the record's own words are 'unknown is the value for we could not determine the figure'. Same shape the study hand-calls access_failure on pass1/picsart."
pass1,gptzero,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
pass1,gptzero,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,gptzero,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,hailuo-ai,cancellation_self_serve,vendor_silence,CONFIRMED,,termination is permitted per the documents but the method is never described
pass1,heygen,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,hostinger,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,hostinger,trial_auto_converts,vendor_silence,CONFIRMED,,no document states whether the trial converts automatically or simply ends
pass1,hostinger,trial_length_days,vendor_silence,WRONG,instrument_gap,"AUDIT. ""article documents the trial by its 5-credit grant only and states no day-based duration"" - the trial IS documented, quantified in credits, against a variable that can hold only an integer day count. Identical to the word-metered trial the study hand-assigns instrument_gap twice (pass1 and pass2 undetectable-ai/trial_length_days: 'no slot for a trial whose sole published limit is denominated in words rather than time'). Distinct from canva/picsart trial_length_days silences, where no constraint of any unit was published."
pass1,hostinger,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,humanizemy,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,humanizemy,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,humanizemy-ai-detector,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,humbot,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
pass1,humbot,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
