# freeze_timestamp: 2026-08-04T09:29:33+03:00
# owner_confirmation: CONFIRMED by Mucahit Kaya, 2026-08-05T10:07:01+03:00 (recorded from owner approval in session; sampling-rules section 3 step 6)
product_id,product_name,vendor_home_url,category,product_status,paid_submission,review_url,review_published_date,in_double_coded_set,frame_note
jobscan,Jobscan,https://www.jobscan.co,AI resume builder,active,no,https://aitoolspolice.com/reviews/jobscan/,2026-06-20,yes,
julius-ai,Julius AI,https://julius.ai,AI data analysis,active,no,https://aitoolspolice.com/reviews/julius-ai/,2026-07-12,no,
kling-ai,Kling AI,https://klingai.com,AI video generator,active,no,https://aitoolspolice.com/reviews/kling-ai/,2026-06-11,no,
krea-ai,Krea AI,https://www.krea.ai,AI image generator,active,no,https://aitoolspolice.com/reviews/krea-ai/,2026-06-10,yes,
leonardo-ai,Leonardo AI,https://leonardo.ai,AI image generator,active,no,https://aitoolspolice.com/reviews/leonardo-ai/,2026-06-10,no,
lovo-ai,LOVO AI,https://lovo.ai,AI voice,discontinued,no,https://aitoolspolice.com/reviews/lovo-ai/,2026-07-21,no,"D-008 sweep 2026-08-10: status corrected active->discontinued. Vendor domain returns HTTP 402 (x-vercel-error: DEPLOYMENT_DISABLED) on every path, verified on three separate days by two independent checkers. LOVO, Inc. filed Chapter 7 liquidation 2026-05-27, SDNY case 26-11249, corroborated by MLex, Law360, Bloomberg Law and a public docket aggregator. Filing predates the 2026-08-04 freeze, so the frame was wrong when frozen. Enters the discontinued stratum, excluded from all aggregates and the index per protocol D8."
midjourney,Midjourney,https://www.midjourney.com,AI image generator,active,no,https://aitoolspolice.com/reviews/midjourney/,2026-06-10,no,
mubert,Mubert,https://mubert.com,AI music generator,active,no,https://aitoolspolice.com/reviews/mubert/,2026-06-11,no,
murf-ai,Murf AI,https://murf.ai,AI voice,active,no,https://aitoolspolice.com/reviews/murf-ai/,2026-06-03,no,
myperfectresume,MyPerfectResume,https://www.myperfectresume.com,AI resume builder,active,no,https://aitoolspolice.com/reviews/myperfectresume/,2026-06-20,no,
nicepage,Nicepage,https://nicepage.com,AI website builder,active,yes,https://aitoolspolice.com/reviews/nicepage/,2026-07-10,yes,
openai-sora,OpenAI Sora,https://sora.com,AI video generator,discontinued,no,https://aitoolspolice.com/reviews/openai-sora/,2026-06-11,no,"D-008 2026-08-10: status corrected active->discontinued. Vendor page reads ""Sora is no longer available""; OpenAI help centre dates shutdown of the web and app experiences to 2026-04-26 (API sunset 2026-09-24). Shutdown predates the 2026-08-04 freeze, so the frame was wrong when frozen; not a mid-window event under sampling-rules 10.4. Enters the discontinued stratum, excluded from all aggregates and the index per protocol D8."
originality-ai,Originality.ai,https://originality.ai,AI detector,active,no,https://aitoolspolice.com/reviews/originality-ai/,2026-06-07,no,
phrasly,Phrasly,https://phrasly.ai,AI humanizer,active,no,https://aitoolspolice.com/reviews/phrasly/,2026-06-07,no,
picsart,Picsart,https://www.picsart.com,AI design,active,no,https://aitoolspolice.com/reviews/picsart/,2026-07-12,no,
pika,Pika,https://pika.art,AI video generator,active,no,https://aitoolspolice.com/reviews/pika/,2026-06-11,yes,
pixlr,Pixlr,https://pixlr.com,AI image generator,active,no,https://aitoolspolice.com/reviews/pixlr/,2026-06-20,no,"vendor_home_url repaired 2026-08-07 (freeze script had captured a schema.org type URI instead of the official domain; corrected to the vendor's official site, per deviations log D-002)"
playht,PlayHT,https://play.ht,AI voice,discontinued,no,https://aitoolspolice.com/reviews/playht/,2026-06-06,no,discontinued Dec 2025; coded from archived materials per sampling 6.2
plus-ai,Plus AI,https://plusai.com,AI presentation,active,no,https://aitoolspolice.com/reviews/plus-ai/,2026-07-20,no,
quillbot,QuillBot,https://quillbot.com,AI humanizer,active,no,https://aitoolspolice.com/reviews/quillbot/,2026-07-15,no,
recraft,Recraft AI,https://www.recraft.ai,AI image generator,active,no,https://aitoolspolice.com/reviews/recraft/,2026-06-10,yes,
resume-io,Resume.io,https://resume.io,AI resume builder,active,no,https://aitoolspolice.com/reviews/resume-io/,2026-06-20,no,
revid-ai,Revid.ai,https://www.revid.ai,Faceless video,active,no,https://aitoolspolice.com/reviews/revid-ai/,2026-05-31,no,
rezi,Rezi,https://www.rezi.ai,AI resume builder,active,no,https://aitoolspolice.com/reviews/rezi/,2026-06-20,no,
runway,Runway,https://runwayml.com,AI video generator,active,no,https://aitoolspolice.com/reviews/runway/,2026-06-11,no,
sapling,Sapling AI Detector,https://sapling.ai,AI detector,active,no,https://aitoolspolice.com/reviews/sapling/,2026-06-07,yes,
shortsfaceless,ShortsFaceless,https://www.shortsfaceless.com,Faceless video,active,no,https://aitoolspolice.com/reviews/shortsfaceless/,2026-06-01,yes,
speechify,Speechify,https://speechify.com,AI voice,active,no,https://aitoolspolice.com/reviews/speechify/,2026-06-02,no,
squarespace,Squarespace,https://www.squarespace.com,AI website builder,active,no,https://aitoolspolice.com/reviews/squarespace/,2026-06-23,no,
stable-audio,Stable Audio,https://stableaudio.com,AI music generator,active,no,https://aitoolspolice.com/reviews/stable-audio/,2026-06-13,no,
suno,Suno,https://suno.com,AI music generator,active,no,https://aitoolspolice.com/reviews/suno/,2026-06-11,no,
synthesia,Synthesia,https://www.synthesia.io,AI avatar,active,no,https://aitoolspolice.com/reviews/synthesia/,2026-06-06,no,
teal,Teal,https://www.tealhq.com,AI resume builder,active,no,https://aitoolspolice.com/reviews/teal/,2026-06-20,yes,
udio,Udio,https://www.udio.com,AI music generator,active,no,https://aitoolspolice.com/reviews/udio/,2026-06-11,yes,
undetectable-ai,Undetectable AI,https://undetectable.ai,AI humanizer,active,no,https://aitoolspolice.com/reviews/undetectable-ai/,2026-06-07,yes,
vidnoz,Vidnoz,https://vidnoz.com,AI avatar,active,no,https://aitoolspolice.com/reviews/vidnoz/,2026-06-06,yes,
winston-ai,Winston AI,https://gowinston.ai,AI detector,active,no,https://aitoolspolice.com/reviews/winston-ai/,2026-06-07,no,
wix,Wix,https://www.wix.com,AI website builder,active,no,https://aitoolspolice.com/reviews/wix/,2026-06-23,no,
writehuman,WriteHuman,https://writehuman.ai,AI humanizer,active,no,https://aitoolspolice.com/reviews/writehuman/,2026-06-07,no,
xseek,xSeek,https://www.xseek.io,AI bot checker,active,no,https://aitoolspolice.com/reviews/xseek/,2026-06-13,no,
zety,Zety,https://www.zety.com,AI resume builder,active,no,https://aitoolspolice.com/reviews/zety/,2026-07-12,no,
