product_id,row_provenance,product_name,category,product_status,paid_submission,entry_tier_name,collection_date,coder_role,coder_pass,archive_status,primary_source_url,archive_status_verified,resolving_captures,local_source_files,headline_price_usd,headline_billing_basis,first_charge_amount_usd,mandatory_addon_present,annual_condition_disclosure,annual_default_toggle,free_plan_exists,free_plan_cap_documented,free_plan_cap_value,free_plan_watermark,free_plan_duration,trial_exists,trial_card_required,trial_length_days,trial_auto_converts,credit_system_present,credit_unit_defined,credit_to_output_rate_published,credit_rate_location,cost_per_output_unit,cost_per_output_computable,computation_assumptions,credit_rollover_policy,failed_generation_charge_policy,auto_renewal_default,auto_renewal_disclosure_location,renewal_notice_commitment,refund_policy_exists,refund_window_days,refund_conditions,cancellation_self_serve,refund_policy_location,commercial_use_lowest_tier,watermark_removal_tier,output_ownership_statement,usage_cap_quantified,unquantified_limit_clause
brandcited,primary,BrandCited,AI bot checker,active,no,Starter,2026-08-07,primary,1,archived,https://www.brandcited.ai/pricing,archived,4,4,29.0,per_month_billed_monthly,29.0,no,not_applicable,monthly_preselected,yes,all_quantified,1 brand | 0 competitors | 1 scan per day,not_applicable,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Starter (entry tier): $29/mo, Monthly default display state (toggle preselected, confirmed aria-checked). Allowance: 1 brand tracked (same pricing-page source). Same period, no conversion needed. 29.00 / 1 = 29.00 USD per brand-month (unit=other: brand tracked per month).",not_applicable,unknown,on,multiple,unknown,conflicting,conflicting,conflicting,self_serve_documented,conflicting,highest_tier,not_applicable,vendor_license_retained,all_caps_quantified,absent
canva,primary,Canva,AI design,active,no,Pro,2026-08-09,primary,1,archived,https://www.canva.com/pricing/,archived,7,30,unknown,unknown,unknown,no,adjacent,annual_preselected,yes,some_quantified,5GB cloud storage | 1 Brand Kit (3 colors only) | up to 200 Standard AI uses per month | up to 20 Premium AI uses per month,unknown,perpetual,yes,unknown,unknown,yes,yes,no,no,absent,per_seat_month,yes,"Pro tier, 1.920 TRY billed annually per default display state (rendered capture, 2026-08-08) = 160.00 TRY/month. per_seat_month output = monthly price directly; no separate allowance to convert. TRY is the figure this study's network observed; headline_price_usd is unknown as of the 2026-08-10 re-examination (was non_usd, briefly) -- no USD figure exists in any document to substitute, and this variable's rule does not gate on headline_price_usd's specific value, so the TRY-denominated computation itself is unaffected. See headline_price_usd.",expires_at_period_end,unknown,on,multiple,advance_notice_stated,no_refunds_stated,0,conditional,self_serve_documented,terms,free,unknown,conditional,some_quantified,present
colossyan,adjudicated,Colossyan,AI avatar,active,no,Professional,2026-08-16,adjudicated,3,archived,https://www.colossyan.com/pricing/,archived,8,7,59.00,per_seat_per_month,708.00,no,adjacent,annual_preselected,yes,some_quantified,20 min/mo NEO | 0.5 min/mo NEO2 | 1 Cora storyboard/mo | 20 min duration limit | 40 scenes | 15 custom avatars | 3 cloned voices | 10 interactive videos/mo | 1 editor seat | 15 auto-translations/mo | 0 SCORM exports/mo | up to 1080p resolution,yes,perpetual,yes,no,14,no,no,not_applicable,not_applicable,not_applicable,per_video_minute,no,"Professional, default annual state: $59/mo x12=$708.00 (ToS 3.3 + pricing FAQ: paid upfront for the year; agreed both passes). cost_per_output_computable resolved to no: NEO (30min/mo) and NEO2 (10min/mo) are co-equal, non-fungible meters at one price with no published split -- 59/30=1.97 or 59/10=5.90 depending on an unstated usage choice rule 7 forbids; no cost_per_output_value_usd entered (not_computable).",not_applicable,unknown,on,multiple,unknown,yes,14,conditional,self_serve_documented,multiple,lowest_paid,lowest_paid,conditional,some_quantified,present
copyleaks,adjudicated,Copyleaks,AI detector,active,no,Personal,2026-08-17,adjudicated,3,local_copy_only,https://copyleaks.com/pricing,archived,1,9,13.99,per_month_billed_annually,167.88,no,adjacent,annual_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,multiple,per_1k_words,yes,"Personal (entry tier), $13.99/mo, default annual-billed display (already monthly, no conversion). Pricing FAQ: plans include ""a monthly credit allowance""; 1,200 credits/mo = up to 300,000 words/mo (250 words/credit). 300000/1000=300; 13.99/300=0.0466/1k words.",expires_at_period_end,unknown,on,multiple,unknown,yes,10,conditional,self_serve_documented,multiple,not_granted,not_applicable,vendor_license_retained,all_caps_quantified,present
d-id,primary,D-ID,AI avatar,active,no,Lite,2026-08-07,primary,1,archived,https://www.d-id.com/pricing/studio/,archived,4,3,4.7,per_month_billed_annually,56.0,no,adjacent,annual_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,unknown,14,unknown,yes,yes,yes,docs_help_center,per_video_minute,yes,"Lite tier, $4.70/mo billed annually (default state, 40-credit pkg default). Allowance 10 min/mo per pricing page = 40 credits x up to 15 sec/credit (FAQ); matches exactly. Same period both sides, no conversion needed. 4.70/10=0.47 per video minute.",expires_at_period_end,unknown,on,terms_only,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,terms,mid_tier,never_removed,user_owns,some_quantified,present
decktopus,primary,Decktopus,AI presentation,active,no,Pro,2026-08-07,primary,1,archived,https://www.decktopus.com/pricing,archived,13,0,9.99,per_month_billed_annually,119.88,no,adjacent,annual_preselected,yes,none_quantified,none quantified -- documented restrictions are unquantified (no export; Decktopus watermark on output); see free_plan_cap_documented,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,multiple,other,yes,"Pro tier, $9.99/mo billed annually (default display state). Included allowance 750 AI credits/mo (s1,s5). Rate 5 credits/slide (s12): 750/5=150 slides/mo. Price & allowance already monthly, no period conversion needed (rule 3). 9.99/150=0.0666 -> $0.07/slide.",expires_at_period_end,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,unknown,lowest_paid,unknown,some_quantified,present
elevenlabs,adjudicated,ElevenLabs,AI voice,active,no,Starter,2026-08-16,adjudicated,3,archived,https://elevenlabs.io/pricing,archived,10,32,6.0,per_month_billed_monthly,6.0,no,not_applicable,monthly_preselected,yes,all_quantified,10000 credits per month | 3 voice slots | 55 voice operations per month | 3 Projects in Studio | 128 kbps maximum audio bitrate | 20000 credits per single generation request,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,per_audio_minute,yes,"Starter $6.00/mo billed monthly, 30,000 credits/mo (default state). Compare-plans grid: ""~30"" min included, ""~$0.20"" extra minute (vendor-labeled approx). 6.00/30=0.20. Exact rate is 1 credit=1 character; char-to-minute is only ""approximately"" 1000/min, hence C2=partial.",partial_rollover,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,lowest_paid,lowest_paid,user_owns,all_caps_quantified,absent
faceless-so,adjudicated,Faceless.so,Faceless video,active,no,Starter,2026-08-17,adjudicated,3,archived,https://faceless.so/pricing,archived,14,80,24.0,per_month_billed_annually,290.0,no,adjacent,annual_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,multiple,other,partial,"Starter, annual default: $24.00/mo card price ($290/yr stated directly), 500 credits/mo. Video costs 20-100 credits by model, no default model stated. 500/20=25vid, 24/25=0.96. 500/100=5vid, 24/5=4.80. Range $0.96-$4.80/video.",unknown,unknown,unknown,absent,unknown,yes,unknown,conditional,self_serve_documented,help_center,lowest_paid,no_watermark,user_owns,some_quantified,present
fotor,primary,Fotor,AI image generator,active,no,Fotor Pro,2026-08-07,primary,1,archived,https://www.fotor.com/pricing/,archived,2,30,3.33,per_month_billed_annually,39.99,no,adjacent,annual_preselected,yes,some_quantified,1 concurrent generation | 30 days creation storage duration | 512MB cloud storage,yes,perpetual,yes,unknown,7,yes,yes,yes,yes,docs_help_center,per_image,yes,"Pro tier: $39.99/yr billed yearly (default state) = $3.33/mo. Allowance 100 credits/mo (HC3; =1200/yr on pricing page ÷12). Rate: 1 credit=1 AI image (HC10). 100/1=100 images/mo. 3.33/100=0.03/image (39.99/1200=0.03 annual, same).",partial_rollover,not_charged,on,multiple,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,free,lowest_paid,user_owns,some_quantified,absent
framer,primary,Framer,AI website builder,active,no,Basic,2026-08-07,primary,1,local_copy_only,https://www.framer.com/pricing,archived,12,3,10.0,per_month_billed_annually,120.0,no,adjacent,annual_preselected,yes,all_quantified,"500 credits per month | 1 GB bandwidth per month | 10 CMS collections | 1,000 pages | 5 MB file uploads | 1 locale | 3 editors",yes,perpetual,yes,unknown,unknown,unknown,yes,no,no,absent,per_seat_month,yes,"Basic(entry),$10/mo,Yearly-toggle-ON default,USD (D-007 re-check 2026-08-10: web.archive.org Arm-2 capture; was TRY231/mo/non-USD). C3: unit=per_seat_month (flat site plan; credits meter a secondary AI feature, not principal output) so price=per-unit cost, no division. 1st charge=10x12=120.00 USD (subs-and-charges: annual billed upfront for the year; was 231x12=2772 TRY).",expires_at_period_end,unknown,on,multiple,unknown,yes,7,conditional,self_serve_documented,dedicated_refund_page,unknown,lowest_paid,user_owns,all_caps_quantified,absent
freepik,primary,Freepik,AI image generator,active,no,Premium,2026-08-07,primary,1,archived,https://www.magnific.com/pricing,archived,6,3,14.5,per_month_billed_annually,174.0,no,adjacent,annual_preselected,yes,some_quantified,20 images per day | 10 downloads per day,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,pricing_page,per_image,partial,"Premium (entry tier), $14.50/mo billed annually (default state; D-007 re-check 2026-08-10 changed this from TRY450/mo/non-USD -- see headline_price_usd), 240,000 credits/yr=20,000/mo (currency-independent, unchanged). Per-image rates published per model, 44-400 credits/image (unchanged), no default model named => price per credit = 14.50/20,000=0.000725; cost/image ranges 44x0.000725=$0.03 to 400x0.000725=$0.29, not one figure (was TRY0.99-9.00).",expires_at_period_end,unknown,on,multiple,advance_notice_stated,yes,30,conditional,self_serve_documented,multiple,lowest_paid,unknown,conditional,some_quantified,present
gamma,primary,Gamma,AI presentation,active,no,Plus,2026-08-09,primary,1,local_copy_only,https://gamma.app/pricing,archived,5,9,9.0,per_seat_per_month,108.0,no,adjacent,annual_preselected,yes,all_quantified,400 credits at signup | 10 slides per prompt | 50k input tokens for initial generation,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,docs_help_center,per_presentation,partial,"Plus: $9/seat/mo=$108/yr (annual default). 1,000 credits/mo (pricing page). Principal output (presentation) not computable -- cards/prompt unpublished (max 75, no typical). Secondary: per-card cost = $9/1000 x 1-3 credits/card = $0.009-$0.027/card (developers docs, range, no selection rule).",partial_rollover,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,unknown,lowest_paid,user_owns,all_caps_quantified,absent
godaddy,primary,GoDaddy Airo,AI website builder,active,no,Starter,2026-08-07,primary,1,archived,https://www.godaddy.com/airo/ai-builder,archived,7,20,9.99,per_month_billed_annually,119.88,no,adjacent,annual_preselected,yes,all_quantified,50 AI credits per month,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,no,no,absent,other,no,"Entry tier Starter $9.99/mo, annual default ('Billed annually' tag); refund policy treats annual plans as one transaction; first_charge=9.99x12=119.88. No credits-to-output rate published, so cost_per_output was not computed.",expires_at_period_end,unknown,on,terms_only,unknown,yes,30,conditional,self_serve_documented,dedicated_refund_page,unknown,unknown,user_owns,all_caps_quantified,present
google-veo,adjudicated,Google Veo,AI video generator,active,no,unknown,2026-08-15,adjudicated,3,archived,https://deepmind.google/models/veo/,archived,12,1,unknown,unknown,unknown,no,not_applicable,unknown,yes,all_quantified,50 Google Flow credits per day,yes,perpetual,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,not_applicable,unknown,unknown,unknown,unknown,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,unknown,never_removed,user_owns,unknown,unknown
gptzero,adjudicated,GPTZero,AI detector,active,no,Premium,2026-08-17,adjudicated,3,local_copy_only,https://gptzero.me/pricing,archived,5,11,unknown,per_month_billed_annually,unknown,no,adjacent,annual_preselected,yes,none_quantified,not_applicable,not_applicable,perpetual,yes,unknown,7,yes,no,not_applicable,not_applicable,not_applicable,per_1k_words,yes,"Premium (entry tier): TRY 549/mo billed annually, default display state; 300,000 words/mo included, same card, same period (no conversion needed). 549/300,000=0.00183 TRY/word = TRY 1.83 per 1,000 words. TRY-denominated; headline_price_usd=unknown, no USD figure published anywhere; no exchange rate invented (protocol 6.5).",not_applicable,unknown,on,terms_only,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,not_granted,not_applicable,unknown,some_quantified,present
hailuo-ai,primary,Hailuo AI,AI video generator,active,no,Standard Plan,2026-08-07,primary,1,archived,https://hailuoai.video/subscribe,archived,3,15,14.99,per_month_billed_monthly,14.99,no,not_applicable,unknown,yes,all_quantified,3 queued tasks | 1 parallel video,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,per_video_minute,no,not_applicable,expires_at_period_end,not_charged,unknown,absent,no_notice_stated,no_refunds_stated,0,not_applicable,unknown,terms,lowest_paid,lowest_paid,user_owns,all_caps_quantified,absent
heygen,primary,HeyGen,AI avatar,active,no,Creator,2026-08-07,primary,1,archived,https://www.heygen.com/pricing,archived,8,13,29.00,per_month_billed_monthly,29.00,no,not_applicable,monthly_preselected,yes,some_quantified,3 videos per month | 1 minute per video | 1 custom digital twin,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,multiple,per_video_minute,partial,"Creator tier, $29/mo billed monthly (default state), 600 credits/mo; price and allowance already same period, no conversion needed. Credit rate varies by mode (1-40 credits/min per docs), no default designated, so cost/min is a range not one figure; full range in coder_note.",partial_rollover,unknown,on,terms_only,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,lowest_paid,lowest_paid,conditional,all_caps_quantified,present
hostinger,primary,Hostinger Horizons,AI website builder,active,no,Explorer,2026-08-07,primary,1,archived,https://www.hostinger.com/horizons,local_copy_only,0,8,6.99,per_month_billed_annually,83.88,no,adjacent,no_toggle,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,unknown,unknown,yes,no,no,absent,other,no,not_applicable,partial_rollover,unknown,on,multiple,no_notice_stated,yes,30,conditional,self_serve_documented,multiple,free,unknown,user_owns,all_caps_quantified,present
humanizemy-ai-detector,primary,HumanizeMyAI Detector,AI detector,active,no,Basic,2026-08-09,primary,1,local_copy_only,https://humanizemy.ai/pricing,archived,3,23,12.0,per_month_billed_annually,144.0,no,adjacent,annual_preselected,yes,all_quantified,"4 scans per day, up to 250 words per scan (no account) | 20 scans per day, no per-scan word cap (signed up)",not_applicable,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,no,not_applicable,not_applicable,unknown,on,multiple,no_notice_stated,yes,unknown,conditional,self_serve_documented,multiple,unknown,not_applicable,user_owns,some_quantified,absent
humanizemy,adjudicated,HumanizeMyAI,AI humanizer,active,no,Basic,2026-08-16,adjudicated,3,archived,https://humanizemy.ai/pricing,archived,4,8,12.0,per_month_billed_annually,144.0,no,adjacent,annual_preselected,yes,all_quantified,4 humanizations per day | up to 125 words per run | 50 humanizations per day per IP,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Basic (entry) tier, default Yearly toggle: $12/mo, $144/yr billed; 80 requests(=humanizations)/month included, already same period as price; 1 request=1 output, no separate per-word metering within the per-request word cap. 12/80=0.15 USD per humanization.",not_applicable,unknown,on,multiple,no_notice_stated,yes,unknown,conditional,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,absent
humbot,primary,Humbot,AI humanizer,active,no,Basic,2026-08-09,primary,1,local_copy_only,https://humbot.ai/pricing,local_copy_only,0,4,7.99,per_month_billed_annually,95.88,no,adjacent,annual_preselected,yes,unknown,unknown,unknown,unknown,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,pricing_page,per_1k_words,yes,"Basic (entry tier), Yearly default: $95.88/yr÷12=$7.99/mo; includes 3,000 Basic Words/mo (usage_list period=month on both monthly and annual SKUs). Credit guide: AI Text Humanizer=1 Basic Word per output word, so 3,000/1=3,000 output words/mo. 7.99/3000=$0.00266/word=$2.66 per 1,000 words. first_charge_amount_usd (95.88) required no computation either: the vendor's own embedded productsList JSON carries the Basic annual SKU (price_id price_1OceZgDTBvGUnRQvGweFDLE9) as price:9588 (cents) / duration:12 (months) -- a fixed field in the vendor's own pricing/billing data, read directly, not derived by multiplying the $7.99/mo figure by 12 (that figure was itself obtained by dividing 95.88/12, the reverse direction). Re-verified 2026-08-12 against humbot-sources/productslist-2026-08-09.json. See coder_note's D-009 provenance check entry.",unknown,unknown,on,terms_only,no_notice_stated,yes,7,conditional,self_serve_documented,multiple,not_granted,unknown,unknown,all_caps_quantified,absent
hyperleap,primary,Hyperleap AI,AI bot checker,active,no,Plus,2026-08-09,primary,1,archived,https://hyperleap.ai/pricing,archived,5,18,40.00,per_month_billed_monthly,40.00,no,not_applicable,monthly_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,yes,7,yes,no,not_applicable,not_applicable,not_applicable,other,yes,"Plus (entry) tier, $40.00/mo per default Monthly display state; 3,000 AI responses/mo included (pricing page + pricing.md); price and allowance already same period, no conversion; 40/3000=0.0133 USD/response.",not_applicable,unknown,on,purchase_terms_doc,unknown,yes,30,conditional,self_serve_documented,dedicated_refund_page,unknown,mid_tier,user_owns,all_caps_quantified,present
